Practice area,HubSpot pl_issue_category value,n,Mean fee,LOE 1-5,Time to Close days median,Fee schedule label,HubSpot pl_fee_schedule value,Notes
Theft / Property,Theft / Property,10,8000,,,,,Fill LOE · close days · fee schedule when locked
Sex Assault / Sex Offense,Sex Assault / Sex Offense,9,7778,,,,,
Assault / Menacing,Assault / Menacing,17,7721,,,,,
Domestic Violence / DV,Domestic Violence / DV,35,5693,,,,,
Criminal Defense (other),Criminal Defense (other),21,4471,,,,,
Probation Revocation,Probation Revocation,9,4056,,,,,
DUI / DWAI / Traffic,DUI / DWAI / Traffic,20,3600,,,,,
